#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2021-10-02T01:46:11 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ6157b7b5343e92	
#INFO	-out.max=unlimited	
#INFO	queryParameters=15	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/PASJ/57/27&tab:{J/PASJ/57/27/tablee2}&key:source=J/PASJ/57/27/tablee2&HTTPPRM:&
#-source=J/PASJ/57/27/tablee2
#-order=I
#-out=HD
#HD=161797
#-out=Line
#-out=Elem
#-out=lambda
#-out=Chi
#-out=loggf
#-out=EW
#-out=abund1
#-out=abund2
#

#RESOURCE=yCat_100570027
#Name: J/PASJ/57/27
#Title: Atmospheric parameters of nearby F-K stars (Takeda+, 2005)
#Table	J_PASJ_57_27_tablee2:
#Name: J/PASJ/57/27/tablee2
#Title: EW data and the Fe abundances for the 160 program stars + Sun (999999)
#Column	HD	(A6)	HD number (G1)	[ucd=]
#Column	Line	(I4)	line number	[ucd=]
#Column	Elem	(F6.2)	FeI: 26.00 FeII: 26.01	[ucd=]
#Column	lambda	(F9.3)	wavelength	[ucd=]
#Column	Chi	(F7.3)	lower excitation potential	[ucd=]
#Column	loggf	(F7.3)	adopted log(gf) value	[ucd=]
#Column	EW	(F6.1)	equivalent width	[ucd=]
#Column	abund1	(F8.3)	Fe abundance (sign inversed for Fe II lines) [+A(FeI),-A(FeII)]	[ucd=]
#Column	abund2	(F8.3)	Fe abundance (sign inversed for Fe I lines) [-A(FeI),+A(FeII)]	[ucd=]
HD|Line|Elem|lambda|Chi|loggf|EW|abund1|abund2
 | | |0.1nm|eV| |0.1pm| |
------|----|------|---------|-------|-------|------|--------|--------
161797| 103| 26.00| 5225.525|  0.110| -4.741|  95.6|   7.720|  -7.720
161797| 104| 26.00| 5247.049|  0.087| -4.942|  86.1|   7.656|  -7.656
161797| 105| 26.00| 5250.208|  0.121| -4.859|  90.6|   7.720|  -7.720
161797| 106| 26.00| 5326.140|  3.570| -2.153|  57.0|   7.830|  -7.830
161797| 107| 26.00| 5412.798|  4.440| -1.727|  34.5|   7.778|  -7.778
161797| 108| 26.00| 5491.840|  4.190| -2.139|  28.8|   7.810|  -7.810
161797| 110| 26.00| 5661.348|  4.280| -1.790|  40.9|   7.804|  -7.804
161797| 111| 26.00| 5696.102|  4.550| -1.847|  24.2|   7.748|  -7.748
161797| 113| 26.00| 5705.466|  4.300| -1.433|  58.1|   7.820|  -7.820
161797| 114| 26.00| 5778.455|  2.590| -3.468|  42.7|   7.802|  -7.802
161797| 115| 26.00| 5784.657|  3.340| -2.615|  46.2|   7.782|  -7.782
161797| 116| 26.00| 5855.091|  4.607| -1.478|  40.0|   7.789|  -7.789
161797| 117| 26.00| 5909.970|  3.210| -2.579|  60.4|   7.891|  -7.891
161797| 118| 26.00| 5956.692|  0.859| -4.537|  79.1|   7.783|  -7.783
161797| 119| 26.00| 6082.708|  2.223| -3.555|  60.2|   7.838|  -7.838
161797| 120| 26.00| 6120.244|  0.910| -5.906|  14.5|   7.794|  -7.794
161797| 121| 26.00| 6136.993|  2.198| -2.910|  84.1|   7.641|  -7.641
161797| 122| 26.00| 6151.617|  2.176| -3.296|  73.1|   7.775|  -7.775
161797| 123| 26.00| 6173.341|  2.223| -2.888|  90.1|   7.763|  -7.763
161797| 124| 26.00| 6180.203|  2.730| -2.615|  79.2|   7.800|  -7.800
